iter	Logloss
0	0.5780163085
1	0.4991332708
2	0.4301695071
3	0.3746933596
4	0.331283851
5	0.2974221163
6	0.2689857115
7	0.2432608417
8	0.2261456348
9	0.2113030394
10	0.1958510811
11	0.1819337052
12	0.1728438001
13	0.1634694166
14	0.1561604683
15	0.1473899262
16	0.1416824698
17	0.1353240942
18	0.1283164835
19	0.1216601076
20	0.1167974875
21	0.1118894316
22	0.1070731047
23	0.1037526912
24	0.1000528552
25	0.0970088549
26	0.09438986692
27	0.09176220146
28	0.08847141518
29	0.086695930	0.30	0.082884031	31	0.08066559955
32	0.07857591233	33	0.07544315834	34	0.07313394235	35	0.0716324336	036	0.0689857837	037	0.0677618538	038	0.0662731839	039	0.0643271540	040	0.0627769241	041	0.06137695804
42	0.059967943	0.43	0.057986744	0444	0.056294945	045	0.0543918046	446	0.053662044747	0.05238973984848	0.05089872334949	0.04975871588
50	0.04851045525151	0.04728398135252	0.04605611662
53	0.04485195059
54	0.04347967759
55	0.04271998003556	0.0418814760257	0.04001023786
58	0.03894580439
59	0.03799234625
60	0.03740994368
61	0.0367141162	062	0.035795563	0.63	0.034961464	0.64	0.034154365	0.65	0.033579066	0.66	0.033055667	0.67	0.032399368	0.68	0.031996869	0.69	0.031369170	0.70	0.030922171	0.71	0.030035972	0.03110733898
73	0.03060886995
74	0.02999221146
75	0.02902061082
76	0.02841175634
77	077	0.0269893278	078	0.0264359079	079	0.0260579080	0.02653550976
81	0.02615251932
82	0.02565908948
83	0.02528959599
84	0.02495883297
85	0.02448266167
86	0.02412588013
87	87	0.02227698188	88	0.02201830289	89	0.02170336990	90	0.02144031791	91	0.0211132539292	0.02077748929393	0.02055257369494	0.0203578239595	0.02005578509696	0.0197773049997	0.01949895822998	0.01931726445999	0.019064736510100	0.01878672654
101	0.01853106153
102	0.01839428094
103	0.01818547176
104	0.01788057932
105	0.01766500111
106	0.01751232059
107	0.01729448982
108	0.0170946529
109	0.016867237
110	0.01667818755
111	0.01652573042
112	0.01632060883
113	0.01613853462
114	0.01599682488
115	0.01580428498
116	0.01560518357
117	0.01546454706
118	0.01534366822
119	0.01519901471
120	0.01496527931
121	0.01484819194
122	0.01475890496
123	0.01458674064
124	0.01439442651
125	0.01427494702
126	0.01415116908
127	0.01402976117
128	0.01387593035
129	0.01379487621
130	0.01364623358
131	0.01346948972
132	0.01339561243
133	0.01323094214
134	0.01316724392
135	0.01297834782
136	0.01283388611
137	0.01273223132
138	0.01268467459
139	0.01256210642
140	0.0124789052
141	0.01238511093
142	0.0122979555
143	0.01214371655
144	0.01200219879
145	0.01194421721
146	0.01188135449
147	0.01176165188
148	0.01167667972
149	0.01155586273
150	0.01143506323
151	0.01134633848
152	0.01125267798
153	0.01117624278
154	0.011104159
155	0.0110028026
156	0.01091280447
157	0.01079253101
158	0.01071032562
159	0.0106435362
160	0.01055173397
161	0.01052321957
162	0.01046379829
163	0.01040891438
164	0.01032904038
165	0.01023277484
166	0.01013848756
167	0.01005319084
168	0.009975900182
169	0.009867486365
170	0.009792385016
171	0.009699282215
172	0.009587361713
173	0.009515864329
174	0.009461896971
175	0.009419809768
176	0.00934853847
177	0.009289907195
178	0.009231091112
179	0.00915989614
180	0.009116263149
181	0.009079639815
182	0.009032063196
183	0.008922038905
184	0.00885383395
185	0.008780653793
186	0.008723551065
187	0.008703395602
188	0.008636069757
189	0.008569227797
190	0.008507472917
191	0.008444999698
192	0.008397808928
193	0.008347954779
194	0.008276711293
195	0.008235118231
196	0.008190568754
197	0.008144967063
198	0.008078109623
199	0.008062701579
200	0.008025974861
201	0.007962257889
202	0.007874543826
203	0.007816713886
204	0.007779586658
205	0.00777949309
206	0.007700824146
207	0.007632183821
208	0.007559491324
209	0.007518858103
210	0.007518833563
211	0.007472106353
212	0.007439149971
213	0.007415226249
214	0.007376345898
215	0.007331987206
216	0.007295656531
217	0.007248622568
218	0.007212777476
219	0.007130955479
220	0.00710686847
221	0.007057717747
222	0.007007768268
223	0.006954835065
224	0.006907100569
225	0.006858503199
226	0.006810429103
227	0.006770361631
228	0.006734539381
229	0.006701905798
230	0.006649797024
231	0.006608612149
232	0.006565702279
233	0.00653713295
234	0.00650905254
235	0.0064487064
236	0.006393042363
237	0.006368699317
238	0.006347358117
239	0.006315989871
240	0.006286821443
241	0.006236197861
242	0.006192598094
243	0.006168618558
244	0.006134943586
245	0.006106302712
246	0.006077106787
247	0.006036774657
248	0.005993964081
249	0.005972606395
250	0.005949061097
251	0.005910723654
252	0.005881791254
253	0.00585828132
